siren,siret,denominationUniteLegale,denominationUsuelle1UniteLegale,activitePrincipaleUniteLegale,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,Adresse pr‚cise
327081832,32708183200047,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],PRIGONRIEUX,,[ND],24340,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, PRIGONRIEUX
350212718,35021271800034,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],LE BUGUE,,[ND],24067,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, LE BUGUE
353944010,35394401000027,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],PLAZAC,,[ND],24330,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, PLAZAC
380890996,38089099600024,,GERANT DE LA SARL IDEM 24,62.01Z,,12,,,,LOTISSEMENT,DE LA DULGARIE,24420,SARLIAC-SUR-L'ISLE,,,24521,,,,,24521A019_B,532502.1602289715,6461417.980828178,,A,,,62.01Z,12 LOTISSEMENT DE LA DULGARIE 24420 SARLIAC-SUR-L'ISLE
390927721,39092772100048,,,62.01Z,APPARTEMENT 1,14,,,,AVENUE,CHARLES DE GAULLE,24120,TERRASSON-LAVILLEDIEU,,,24547,,,,,245470143_B,566700.7060325771,6449044.669535872,,A,ALLO SAISIE,,62.01Z,APPARTEMENT 1 14 AVENUE CHARLES DE GAULLE 24120 TERRASSON-LAVILLEDIEU
392850160,39285016000053,ABACOM INFORMATIQUE,,62.01Z,,12,,,,RUE,MARC DUFRAISSE,24600,RIBERAC,,,24352,,,,,243520640_B,491314.70282942045,6464517.524027612,,A,,WWW.LOGICIELTRANSPORT.FR WWW.WINFRET.FR,62.01Z,12 RUE MARC DUFRAISSE 24600 RIBERAC
401178157,40117815700079,FIRE LIVE,,62.01Z,,7,,,,CHEMIN,DE HALAGE AMONT,24150,SAINT-CAPRAISE-DE-LALINDE,,,24382,,,,,243820070_B,516017.56,6418344.65,,A,,LA COMMUNALE,62.01Z,7 CHEMIN DE HALAGE AMONT 24150 SAINT-CAPRAISE-DE-LALINDE
410475388,41047538800048,,,62.01Z,,47,,,,RUE,DU TERME,24190,NEUVIC,,,24309,,,,,243090097_B,500155.02400372236,6447092.2770370385,,A,,,62.01Z,47 RUE DU TERME 24190 NEUVIC
412357121,41235712100026,,,62.01Z,SAINTE ALVERE,6,,,,RUE,FONT SAINT JEAN,24380,VAL DE LOUYRE ET CAUDEAU,,,24362,,,,,,,,,A,,,62.01Z,SAINTE ALVERE 6 RUE FONT SAINT JEAN 24380 VAL DE LOUYRE ET CAUDEAU
422430074,42243007400068,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],SAINT-MARTIAL-DE-NABIRAT,,[ND],24450,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, SAINT-MARTIAL-DE-NABIRAT
