siren,siret,denominationUniteLegale,denominationUsuelle1UniteLegale,activitePrincipaleUniteLegale,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,Adresse précise
130002975,13000297500014,GIP BLANCHISSERIE INTER-HOSPITALIERE PERIGUEUX-RIBERAC-SARLAT,,96.01A,CENTRE HOSPITALIER,80,,,,AVENUE,GEORGES POMPIDOU,24000,PERIGUEUX,,,24322,,,,,243221775_B,521904.2368342382,6457602.863857376,,A,,,96.01A,CENTRE HOSPITALIER 80 AVENUE GEORGES POMPIDOU 24000 PERIGUEUX
378164727,37816472700026,BLANC NETTIS,BLANC NETTIS,96.01A,LD LA GRAVIERE,,,,,AV,ANDRE MAUROIS,24310,BRANTOME EN PERIGORD,,,24064,,,,,,,,,A,,,96.01A,LD LA GRAVIERE  AV ANDRE MAUROIS 24310 BRANTOME EN PERIGORD
393125414,39312541400010,PERIGORD RESSOUR INSERT RECLAS HANDICAPE,,96.01A,,,,,,RUE,EUGENE LEROY,24120,TERRASSON-LAVILLEDIEU,,,24547,,,,,245470341_B,565891.1229136754,6450303.395665206,,A,,,96.01A, RUE EUGENE LEROY 24120 TERRASSON-LAVILLEDIEU
393125414,39312541400028,PERIGORD RESSOUR INSERT RECLAS HANDICAPE,,96.01A,,,,,,,,24570,LE LARDIN-SAINT-LAZARE,,,24229,,,,,,,,,A,,,96.01A, 24570 LE LARDIN-SAINT-LAZARE
517995916,51799591600049,ANETT SOLEIL,ANETT SOLEIL,96.01A,,43,,,,AVENUE,ANDRE MAUROIS,24310,BRANTOME EN PERIGORD,,,24064,,,,,240640010_B,516472.7,6476523.74,,A,,ANETT SOLEIL BLN,96.01A,43 AVENUE ANDRE MAUROIS 24310 BRANTOME EN PERIGORD
839580255,83958025500017,,,96.01A,,,,,,,LE BOURG,24560,MONTAUT,,,24287,,,,,,,,,A,,LAISSEZ FER SANDRINE,96.01A, LE BOURG 24560 MONTAUT
971503578,97150357800181,KALHYGE 1,,96.01A,ZA DES GABARES,10,,,,IMPASSE,DE LA BAILLARDIERE,24650,CHANCELADE,,,24102,,,,,24102ry0u_B,515768.8,6457558.98,,A,,,96.01A,ZA DES GABARES 10 IMPASSE DE LA BAILLARDIERE 24650 CHANCELADE
315135749,31513574900028,,PRESSING BELVESOIS,96.01B,,,,,,,,24170,PAYS DE BELVES,,,24035,,,,,,,,,A,,,96.01B, 24170 PAYS DE BELVES
315135749,31513574900036,,PRESSING BELVESOIS,96.01B,,33,,,,RUE,JACQUES MANCHOTTE,24170,PAYS DE BELVES,,,24035,,,,,,,,,A,,,96.01B,33 RUE JACQUES MANCHOTTE 24170 PAYS DE BELVES
316879840,31687984000015,BLANCHISSERIE BERGERACOISE,,96.01B,,26,B,,,RUE,DES FAURES,24100,BERGERAC,,,24037,,,,,240371760_B,501206.49214937794,6420441.4727492845,,A,,,96.01B,"26, B RUE DES FAURES 24100 BERGERAC"
