siren,siret,denominationUniteLegale,denominationUsuelle1UniteLegale,activitePrincipaleUniteLegale,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,Adresse précise
305836033,30583603301168,SERARE,COURTEPAILLE,56.10A,LA FEUILLERAIE,,,,,AVENUE,MICHEL GRANDOU,24750,TRELISSAC,,,24557,,,,,245570174_B,523065.131092465,6457018.424369655,,A,COURTEPAILLE,,56.10A,LA FEUILLERAIE  AVENUE MICHEL GRANDOU 24750 TRELISSAC
308670181,30867018100103,[ND],[ND],56.10A,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],EXCIDEUIL,,[ND],24164,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],56.10A, EXCIDEUIL
309285187,30928518700022,LE SAINT PIERRE,HOTEL RESTAURANT CHARBONNEL,56.10A,,23,,,,RUE,VICTOR HUGO,24310,BRANTOME EN PERIGORD,,,24064,,,,,,,,,A,,LE BISTROT SAINT PIERRE,56.10A,23 RUE VICTOR HUGO 24310 BRANTOME EN PERIGORD
309292050,30929205000023,,HOTEL LES TOURNISSOUX,56.10A,,84,,,,AVENUE,DU 8 MAI 1945,24570,LE LARDIN-SAINT-LAZARE,,,24229,,,,,242290184_B,559976.9099795916,6449583.533774231,,A,LA TABLE GOURMANDE,,56.10A,84 AVENUE DU 8 MAI 1945 24570 LE LARDIN-SAINT-LAZARE
310538582,31053858200035,,,56.10A,,,,,,LD,ROUFFILLAC,24370,CARLUX,,,24081,,,,,,,,,A,,,56.10A, LD ROUFFILLAC 24370 CARLUX
313135279,31313527900047,,,56.10A,,,,,,LD,LD LACOSTE,24290,MONTIGNAC-LASCAUX,,,24291,,,,,,,,,A,LOU CANTOU,LOU CANTOU,56.10A, LD LD LACOSTE 24290 MONTIGNAC-LASCAUX
314391574,31439157400022,SARL LES COUPOLES,PIZZERIA LES COUPOLES,56.10A,,7,,,,RUE,DE LA CLARTE,24000,PERIGUEUX,,,24322,,,,,243221070_B,521138.4515557139,6456453.860164355,,A,,,56.10A,7 RUE DE LA CLARTE 24000 PERIGUEUX
316058692,31605869200013,,,56.10A,,,,,,,LA QUINTINIE,24350,TOCANE-SAINT-APRE,,,24553,,,,,24553B268_C,,,,A,,,56.10A, LA QUINTINIE 24350 TOCANE-SAINT-APRE
316366764,31636676400074,,BALLADE EN PERIGORD,56.10A,,19,,,,RUE,DE LA REPUBLIQUE,24200,SARLAT-LA-CANEDA,,,24520,,,,,245202100_B,559147.8020452283,6422752.533214522,,A,LA CLE DE VOUTE,,56.10A,19 RUE DE LA REPUBLIQUE 24200 SARLAT-LA-CANEDA
316434638,31643463800086,,,56.10A,,,,,,LD,RIGANAUD,24320,SAINT-PAUL-LIZONNE,,,24482,,,,,,,,,A,BAR RESTAURANT DE LA DOUANE,BAR RESTAURANT DE LA DOUANE,56.10A, LD RIGANAUD 24320 SAINT-PAUL-LIZONNE
316632611,31663261100018,MOULIN DU ROC,,56.10A,,,,,,AVENUE,EUGENE LE ROY,24530,CHAMPAGNAC-DE-BELAIR,,,24096,,,,,240960034_B,519610.1352260775,6479710.439968275,,A,,,56.10A, AVENUE EUGENE LE ROY 24530 CHAMPAGNAC-DE-BELAIR
319238176,31923817600014,,,56.10A,ECLUSE,,,,,,ECLUSE DE SALTEGOURDE,24660,COULOUNIEIX CHAMIERS,,,24138,,,,,24138B093_C,,,,A,BAR DE L'ECLUSE,,56.10A,ECLUSE  ECLUSE DE SALTEGOURDE 24660 COULOUNIEIX CHAMIERS
319634952,31963495200026,,,56.10A,LE ST GEORGES - CAZOULES,,,,,,LE BOURG,24370,PECHS-DE-L'ESPERANCE,,,24325,,,,,,,,,A,LE SAINT GEORGES,,56.10A,LE ST GEORGES - CAZOULES  LE BOURG 24370 PECHS-DE-L'ESPERANCE
320227309,32022730900038,,,56.10A,,,,,,,LE BOURG,24330,BASSILLAC ET AUBEROCHE,,,24026,,,,,,,,,A,LE PRESBYTERE,,56.10A, LE BOURG 24330 BASSILLAC ET AUBEROCHE
320270820,32027082000014,,HOTEL DE FRANCE,56.10A,STE ORSE,8,,,,PLACE,DE LA MAIRIE,24210,SAINTE-ORSE,,,24473,,,,,244730070_B,548834.55,6457854.2,,A,HOTEL DE FRANCE,HOTEL DE FRANCE,56.10A,STE ORSE 8 PLACE DE LA MAIRIE 24210 SAINTE-ORSE
323003996,32300399600010,LE GAMBETTA,CAFE LE GAMBETTA,56.10A,,22,,,,AVENUE,GAMBETTA,24200,SARLAT-LA-CANEDA,,,24520,,,,,245200900_B,559108.1810532849,6423116.937519274,,A,,,56.10A,22 AVENUE GAMBETTA 24200 SARLAT-LA-CANEDA
323599456,32359945600015,LALY SARL,,56.10A,,96,,,,RUE,VICTOR HUGO,24000,PERIGUEUX,,,24322,,,,,243224240_B,520339.39519943437,6457102.939386533,,A,,,56.10A,96 RUE VICTOR HUGO 24000 PERIGUEUX
323926212,32392621200024,,,01.11Z,,,,,,LD,REGOU,24440,BEAUMONTOIS EN PERIGORD,,,24028,,,,,,,,,A,AUBERGE AU REGAL DE REGAU,,56.10A, LD REGOU 24440 BEAUMONTOIS EN PERIGORD
326224607,32622460700027,LA COUPOLE,PIZZERIA PEPPONE,56.10A,,,,,,,LE CHATEAU,24590,SAINT-GENIES,,,24412,,,,,,,,,A,LE CHATEAU,,56.10A, LE CHATEAU 24590 SAINT-GENIES
326817848,32681784800061,LE LUZARD,,56.10A,,,,,,,MAISON BELLEVUE,24270,ANGOISSE,,,24008,,,,,,,,,A,,,56.10A, MAISON BELLEVUE 24270 ANGOISSE
328132477,32813247700030,,,56.10A,,2,,,,RUE,PIERRE SEMARD,24800,THIVIERS,,,24551,,,,,245510650_B,537324.0779812413,6481894.373072405,,A,RESTAURANT L'AIR DU TEMPS,,56.10A,2 RUE PIERRE SEMARD 24800 THIVIERS
329645568,32964556800026,[ND],[ND],56.10A,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],CORNILLE,,[ND],24135,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],56.10A, CORNILLE
330028283,33002828300043,,,56.10A,ST MICHEL LEPARON,,,,,,LE FENAGE,24490,LA ROCHE CHALAIS,,,24354,,,,,24354C285_C,,,,A,,,56.10A,ST MICHEL LEPARON  LE FENAGE 24490 LA ROCHE CHALAIS
330228297,33022829700033,,,56.10A,,2338,,,,ROUTE,DE LA VALLEE,24620,TURSAC,,,24559,,,,,245590930_B,545849.0270833757,6431820.699331092,,A,HIMALAYA EN PERIGORD - SORIG,HIMALAYA EN PERIGORD - SORIG,56.10A,2338 ROUTE DE LA VALLEE 24620 TURSAC
330552076,33055207600052,,,56.10A,,148,,,,ROUTE,DE BORDEAUX,24430,MARSAC-SUR-L'ISLE,,,24256,,,,,242560050_B,514495.4165818912,6456668.201937547,,A,LA PRUNERIE,LA PRUNERIE,56.10A,148 ROUTE DE BORDEAUX 24430 MARSAC-SUR-L'ISLE
330777020,33077702000026,,CAFE RESTAURANT ROBERT,56.10A,,,,,,,,24460,AGONAC,,,24002,,,,,,,,,A,,,56.10A, 24460 AGONAC
333033181,33303318100012,EURL LAPEYRE,LE CHAI,56.10A,,,,,,LD,LE CHAI,24510,LIMEUIL,,,24240,,,,,,,,,A,,,56.10A, LD LE CHAI 24510 LIMEUIL
333078574,33307857400048,,,56.10A,,,,,,,LA COMBE,24260,LES EYZIES,,,24172,,,,,,,,,A,L'AUBERGE DE L'ETANG JOLI,,56.10A, LA COMBE 24260 LES EYZIES
333383131,33338313100013,C.I.G.SARL,,56.10A,,23,,,,COURS,FENELON,24000,PERIGUEUX,,,24322,,,,,243221520_B,521011.0911155597,6456195.5481069395,,A,,,56.10A,23 COURS FENELON 24000 PERIGUEUX
333803666,33380366600028,,,56.10A,,25,,,,RUE,VICTOR HUGO,24310,BRANTOME EN PERIGORD,,,24064,,,,,,,,,A,,LES DAMES GALANTES,56.10A,25 RUE VICTOR HUGO 24310 BRANTOME EN PERIGORD
335136438,33513643800017,,,56.10A,,,,,,PLACE,DE L'EGLISE,24560,ISSIGEAC,,,24212,,,,,242120007_B,510552.45073825994,6406310.561320171,,A,,,56.10A, PLACE DE L'EGLISE 24560 ISSIGEAC
337827042,33782704200017,LE MOULIN DE MALFOURAT,LA TOUR DES VENTS,56.10A,,,,,,,MALFOURAT,24240,MONBAZILLAC,,,24274,,,,,24274B114_C,,,,A,MOULIN DE MALFOURAT - LA TOUR DES VENTS,,56.10A, MALFOURAT 24240 MONBAZILLAC
342678919,34267891900032,,,56.10A,,28,,,,RUE,EGUILLERIE,24000,PERIGUEUX,,,24322,,,,,243221390_B,521081.587743134,6456544.496970415,,A,JOUR DE MARCHE,,56.10A,28 RUE EGUILLERIE 24000 PERIGUEUX
342781002,34278100200064,,,56.10A,,,,,,,LES DEUX PONTS,24600,VILLETOUREIX,,,24586,,,,,,,,,A,,,56.10A, LES DEUX PONTS 24600 VILLETOUREIX
343108494,34310849400026,,LE VESONE,56.10A,,77,,,,RUE,CLAUDE BERNARD,24000,PERIGUEUX,,,24322,,,,,243221080_B,520129.8389027778,6456051.505634159,,A,LE VESONE,,56.10A,77 RUE CLAUDE BERNARD 24000 PERIGUEUX
344971676,34497167600038,,,56.10A,,,,,,LD,LES MAGNANAS,24220,VEZAC,,,24577,,,,,,,,,A,,,56.10A, LD LES MAGNANAS 24220 VEZAC
347940702,34794070200058,LA TABLE PERIGOURDINE,LOU LE BRAOUDET,46.38B,,104,,,,RUE,ROBERT FOUSKMAN,24220,VEZAC,,,24577,,,,,245771010_B,555123.1700917572,6416983.84499839,,A,LE PADDOCK 135,,56.10A,104 RUE ROBERT FOUSKMAN 24220 VEZAC
349596213,34959621300018,BLANQUER,LE REGENT ET LE FESTIVAL,56.10A,,6,,,,PLACE,DE LA LIBERTE,24200,SARLAT-LA-CANEDA,,,24520,,,,,245201295_B,559205.4547672856,6422773.561090496,,A,,,56.10A,6 PLACE DE LA LIBERTE 24200 SARLAT-LA-CANEDA
349692301,34969230100014,LA METAIRIE,,56.10A,,,,,,LD,MILLAC,24150,MAUZAC-ET-GRAND-CASTANG,,,24260,,,,,,,,,A,,,56.10A, LD MILLAC 24150 MAUZAC-ET-GRAND-CASTANG
349855858,34985585800032,GRAND CAFE DE PARIS ET CASINO,,56.10A,,19,,,,BOULEVARD,MICHEL DE MONTAIGNE,24000,PERIGUEUX,,,24322,,,,,243222665_B,520959.61285311537,6456646.791871324,,A,,,56.10A,19 BOULEVARD MICHEL DE MONTAIGNE 24000 PERIGUEUX
350736468,35073646800017,ROBIN ET CIE,LA TAVERNE DES REMPARTS,56.10A,,5,,,,PLACE,DU CHATEAU DE BEYNAC,24220,BEYNAC-ET-CAZENAC,,,24040,,,,,240400252_B,553510.89,6417422.9,,A,LA TAVERNE DES REMPARTS,,56.10A,5 PLACE DU CHATEAU DE BEYNAC 24220 BEYNAC-ET-CAZENAC
