typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,Adresse pr�cise
[ND],[ND],[ND],ABJAT-SUR-BANDIAT, ABJAT-SUR-BANDIAT
,FERME DE GROSPUY,24300,ABJAT-SUR-BANDIAT, FERME DE GROSPUY 24300 ABJAT-SUR-BANDIAT
[ND],[ND],[ND],ABJAT-SUR-BANDIAT, ABJAT-SUR-BANDIAT
RUE,DU PERIGORD,24300,ABJAT-SUR-BANDIAT,RUE DU PERIGORD 24300 ABJAT-SUR-BANDIAT
[ND],[ND],[ND],ABJAT-SUR-BANDIAT, ABJAT-SUR-BANDIAT
ROUTE,DU CHATEAU,24300,ABJAT-SUR-BANDIAT,ROUTE DU CHATEAU 24300 ABJAT-SUR-BANDIAT
ROUTE,DES BALSANES,24300,ABJAT-SUR-BANDIAT,ROUTE DES BALSANES 24300 ABJAT-SUR-BANDIAT
ROUTE,DU FEU DE LA ST JEAN,24300,ABJAT-SUR-BANDIAT,ROUTE DU FEU DE LA ST JEAN 24300 ABJAT-SUR-BANDIAT
ROUTE,DU PIGNER BAS,24460,AGONAC,ROUTE DU PIGNER BAS 24460 AGONAC
,LE BOURG,24460,AGONAC, LE BOURG 24460 AGONAC
,COUYER,24460,AGONAC, COUYER 24460 AGONAC
AVENUE,DE LA BEAURONNE,24460,AGONAC,AVENUE DE LA BEAURONNE 24460 AGONAC
RUE,RIPAGUAY,24460,AGONAC,RUE RIPAGUAY 24460 AGONAC
[ND],[ND],[ND],AGONAC, AGONAC
RUE,RIPAGUAY,24460,AGONAC,RUE RIPAGUAY 24460 AGONAC
CHEMIN,DU LAVOIR,24460,AGONAC,CHEMIN DU LAVOIR 24460 AGONAC
[ND],[ND],[ND],AGONAC, AGONAC
,LES ROUSSELLES,24460,AGONAC, LES ROUSSELLES 24460 AGONAC
[ND],[ND],[ND],AGONAC, AGONAC
RUE,BARBESSOU,24460,AGONAC,RUE BARBESSOU 24460 AGONAC
ROUTE,DU CLUZEAU,24460,AGONAC,ROUTE DU CLUZEAU 24460 AGONAC
[ND],[ND],[ND],AGONAC, AGONAC
,LES CABADANS,24210,AJAT, LES CABADANS 24210 AJAT
[ND],[ND],[ND],AJAT, AJAT
LD,LE CHANCEL,24210,AJAT,LD LE CHANCEL 24210 AJAT
[ND],[ND],[ND],AJAT, AJAT
ROUTE,DES BERGERS,24210,AJAT,ROUTE DES BERGERS 24210 AJAT
,LE FOURNIER,24480,ALLES-SUR-DORDOGNE, LE FOURNIER 24480 ALLES-SUR-DORDOGNE
,COMBE DE FERRAND,24480,ALLES-SUR-DORDOGNE, COMBE DE FERRAND 24480 ALLES-SUR-DORDOGNE
,LA BORIE NEUVE,24480,ALLES-SUR-DORDOGNE, LA BORIE NEUVE 24480 ALLES-SUR-DORDOGNE
,ROUTE DU BUISSON,24480,ALLES-SUR-DORDOGNE, ROUTE DU BUISSON 24480 ALLES-SUR-DORDOGNE
ROUTE,DE LA RIVIERE,24480,ALLES-SUR-DORDOGNE,ROUTE DE LA RIVIERE 24480 ALLES-SUR-DORDOGNE
[ND],[ND],[ND],ALLAS-LES-MINES, ALLAS-LES-MINES
,LE GELIBERT,24600,ALLEMANS, LE GELIBERT 24600 ALLEMANS
[ND],[ND],[ND],ANGOISSE, ANGOISSE
[ND],[ND],[ND],ANLHIAC, ANLHIAC
,GRAVELLE,24430,ANNESSE-ET-BEAULIEU, GRAVELLE 24430 ANNESSE-ET-BEAULIEU
ROUTE,DES TERRIERES,24430,ANNESSE-ET-BEAULIEU,ROUTE DES TERRIERES 24430 ANNESSE-ET-BEAULIEU
IMPASSE,DU TERRIER,24430,ANNESSE-ET-BEAULIEU,IMPASSE DU TERRIER 24430 ANNESSE-ET-BEAULIEU
CHEMIN,DE LA PLAINE,24430,ANNESSE-ET-BEAULIEU,CHEMIN DE LA PLAINE 24430 ANNESSE-ET-BEAULIEU
[ND],[ND],[ND],ANNESSE-ET-BEAULIEU, ANNESSE-ET-BEAULIEU
[ND],[ND],[ND],ANNESSE-ET-BEAULIEU, ANNESSE-ET-BEAULIEU
[ND],[ND],[ND],ANNESSE-ET-BEAULIEU, ANNESSE-ET-BEAULIEU
[ND],[ND],[ND],ANNESSE-ET-BEAULIEU, ANNESSE-ET-BEAULIEU
IMPASSE,DE LEYPALOU,24430,ANNESSE-ET-BEAULIEU,IMPASSE DE LEYPALOU 24430 ANNESSE-ET-BEAULIEU
RUE,DU LAVOIR,24430,ANNESSE-ET-BEAULIEU,RUE DU LAVOIR 24430 ANNESSE-ET-BEAULIEU
ROUTE,DES BALANS,24430,ANNESSE-ET-BEAULIEU,ROUTE DES BALANS 24430 ANNESSE-ET-BEAULIEU
ROUTE,DE RAVINE,24420,ANTONNE-ET-TRIGONANT,ROUTE DE RAVINE 24420 ANTONNE-ET-TRIGONANT
ROUTE,DE LIMOGES,24420,ANTONNE-ET-TRIGONANT,ROUTE DE LIMOGES 24420 ANTONNE-ET-TRIGONANT
[ND],[ND],[ND],ANTONNE-ET-TRIGONANT, ANTONNE-ET-TRIGONANT
CHEMIN,DU GUE,24420,ANTONNE-ET-TRIGONANT,CHEMIN DU GUE 24420 ANTONNE-ET-TRIGONANT
RUE,VALENTINE BUSSIERE,24420,ANTONNE-ET-TRIGONANT,RUE VALENTINE BUSSIERE 24420 ANTONNE-ET-TRIGONANT
[ND],[ND],[ND],ANTONNE-ET-TRIGONANT, ANTONNE-ET-TRIGONANT
ALLEE,DES BRANDES,24420,ANTONNE-ET-TRIGONANT,ALLEE DES BRANDES 24420 ANTONNE-ET-TRIGONANT
ROUTE,DE FONSEQUE,24420,ANTONNE-ET-TRIGONANT,ROUTE DE FONSEQUE 24420 ANTONNE-ET-TRIGONANT
RUE,GASTON NABOULET,24420,ANTONNE-ET-TRIGONANT,RUE GASTON NABOULET 24420 ANTONNE-ET-TRIGONANT
