siren,url,site,adress,lat,lon
327081832,,,PRIGONRIEUX,44.865585,0.412851
350212718,,,LE BUGUE,44.923081,0.925261
353944010,,,PLAZAC,45.046457,1.038236
380890996,,,12 LOTISSEMENT DE LA DULGARIE 24420 SARLIAC-SUR-L'ISLE,45.231692,0.865167
390927721,,,APPARTEMENT 1 14 AVENUE CHARLES DE GAULLE 24120 TERRASSON-LAVILLEDIEU,45.127805,1.304373
392850160,,,12 RUE MARC DUFRAISSE 24600 RIBERAC,45.248353,0.339393
401178157,,,7 CHEMIN DE HALAGE AMONT 24150 SAINT-CAPRAISE-DE-LALINDE,44.839852,0.671497
410475388,,,47 RUE DU TERME 24190 NEUVIC,45.09416,0.459168
412357121,,,SAINTE ALVERE 6 RUE FONT SAINT JEAN 24380 VAL DE LOUYRE ET CAUDEAU,44.947074,0.807281
422430074,,,SAINT-MARTIAL-DE-NABIRAT,44.750881,1.247374
424097897,,,29 RUE SAINT JOSEPH 24540 MONPAZIER,44.681778,0.895
433668613,,,LE BOURG NORD 24220 COUX ET BIGAROQUE-MOUZENS,44.848307,0.969856
434069092,,,MAZIERAS 127 ROUTE DU CLEDIER 24470 SAINT-SAUD-LACOUSSIERE,45.551921,0.803983
434224820,,,LD CARRIERES 24130 EYRAUD-CREMPSE-MAURENS,44.909571,0.473625
439496175,,,GRAND-BRASSAC,45.29911,0.489691
442687083,,,4 IMPASSE BEAUSEJOUR 24210 LA BACHELLERIE,45.144008,1.161085
443005285,,,BEAUPOUYET,44.99874,0.290567
447981416,,,SAINT-ASTIER,45.144092,0.513806
448068593,,,MOULIN NEUF  MOULIN DE SAINT PIERRE 24380 FOULEIX,44.971368,0.670936
448213579,,,PORT-SAINTE-FOY-ET-PONCHAPT,44.855398,0.201302
448569699,,,733 LDT LE TALLET 24580 ROUFFIGNAC-ST-CERNIN-DE-REILHAC,45.066764,0.949462
448799619,,,BERNICOT 3265 ROUTE DES CHARMILLES 24700 SAINT-BARTHELEMY-DE-BELLEGARDE,45.104229,0.197255
448851535,,,BRY 24600 ST SULPICE DE ROUMAGNAC,45.204581,0.394805
451084412,,,LALINDE,44.859033,0.742868
452210131,,,3 IMPASSE EMMANUEL CHABRIER 24100 BERGERAC,44.863196,0.493097
452506009,,,4 RUE DE BELZUNCE 24130 LA FORCE,44.867634,0.373646
477697825,,,18 RUE DU PROFESSEUR CALMETTE 24100 BERGERAC,44.851082,0.494866
