siren,url_pappers,site_web,adress,lat,lon
130002975.0,https://www.pappers.fr/recherche?q=130002975,Non disponible,CENTRE HOSPITALIER 80 AVENUE GEORGES POMPIDOU 24000 PERIGUEUX,45.193579,0.728594
378164727.0,https://www.pappers.fr/recherche?q=378164727,https://blancnettis.com/,LD LA GRAVIERE  AV ANDRE MAUROIS 24310 BRANTOME EN PERIGORD,45.362263,0.659009
393125414.0,https://www.pappers.fr/recherche?q=393125414,https://perigord-ressources.fr/,RUE EUGENE LEROY 24120 TERRASSON-LAVILLEDIEU,45.136034,1.295918
393125414.0,https://www.pappers.fr/recherche?q=393125414,https://perigord-ressources.fr/,24570 LE LARDIN-SAINT-LAZARE,45.1287746,1.2273602
517995916.0,https://www.pappers.fr/recherche?q=517995916,Non renseigné,43 AVENUE ANDRE MAUROIS 24310 BRANTOME EN PERIGORD,45.3619876,0.659491
839580255.0,https://www.pappers.fr/recherche?q=839580255,Non renseigné,LE BOURG 24560 MONTAUT,44.756113,0.651907
971503578.0,https://www.pappers.fr/recherche?q=971503578,Non renseigné,ZA DES GABARES 10 IMPASSE DE LA BAILLARDIERE 24650 CHANCELADE,45.192708,0.653607
315135749.0,https://www.pappers.fr/recherche?q=315135749,Non renseigné,24170 PAYS DE BELVES,44.7751847,1.0068584
315135749.0,https://www.pappers.fr/recherche?q=315135749,Non renseigné,33 RUE JACQUES MANCHOTTE 24170 PAYS DE BELVES,44.7764265,1.0066004
316879840.0,https://www.pappers.fr/recherche?q=316879840,https://blanchisseries.net/,"26, B RUE DES FAURES 24100 BERGERAC",44.854631,0.483323
324164920.0,https://www.pappers.fr/recherche?q=324164920,Non renseigné,1 PLACE BUGEAUD 24000 PERIGUEUX,45.1840017,0.718246
327039327.0,https://www.pappers.fr/recherche?q=327039327,Non renseigné,RUE DE LA TOUR 24800 THIVIERS,45.4150999,0.9201646
342145372.0,https://www.pappers.fr/recherche?q=342145372,Non renseigné,CENTRE COMMERCIAL INTERMAR  LA BRANDE OUEST 24200 SARLAT-LA-CANEDA,44.898766,1.214255
349391185.0,https://www.pappers.fr/recherche?q=349391185,Non renseigné,CENTRE COMMERCIAL DU PONTET  LE PONTET 24200 SARLAT-LA-CANEDA,44.87726,1.209925
352930887.0,https://www.pappers.fr/recherche?q=352930887,Non renseigné,13 RUE DE LA REPUBLIQUE 24000 PERIGUEUX,45.1844568,0.7195503
352930887.0,https://www.pappers.fr/recherche?q=352930887,Non renseigné,2 RUE DU QUATRE SEPTEMBRE 24000 PERIGUEUX,45.185518,0.71753
353413412.0,https://www.pappers.fr/recherche?q=353413412,Non renseigné,LES GRIMARDS 24230 MONTAZEAU,44.8920086,0.1349377
388562795.0,https://www.pappers.fr/recherche?q=388562795,Non renseigné,2 RUE COLONEL RAYNAL 24000 PERIGUEUX,45.180558,0.709176
391218005.0,https://www.pappers.fr/recherche?q=391218005,Non renseigné,24 AVENUE JULES FERRY 24300 NONTRON,45.5344219,0.6662735
395242910.0,https://www.pappers.fr/recherche?q=395242910,Non renseigné,LA CAVAILLE 24100 BERGERAC,44.8323361,0.4445961
399310044.0,https://www.pappers.fr/recherche?q=399310044,Non renseigné,7 RUE GAMBETTA 24160 EXCIDEUIL,45.3364616,1.0506083
399387679.0,https://www.pappers.fr/recherche?q=399387679,https://achat-pays-de-brive.com/,"25, B AVENUE VICTOR HUGO 24120 TERRASSON-LAVILLEDIEU",45.129874,1.300471
410697205.0,https://www.pappers.fr/recherche?q=410697205,https://pressing-press-astier.fr/,15 AVENUE JULES FERRY 24110 SAINT-ASTIER,45.1443974,0.527392
423035831.0,https://www.pappers.fr/recherche?q=423035831,Non renseigné,ROUTE DE BELVES  LE PORT 24170 SIORAC-EN-PERIGORD,44.7643,1.019067
429900129.0,https://www.pappers.fr/recherche?q=429900129,Non renseigné,6 CTRE CIAL DU PONTET  AVENUE DE LA DORDOGNE 24200 SARLAT-LA-CANEDA,44.87726,1.209925
437576754.0,https://www.pappers.fr/recherche?q=437576754,Non renseigné,61 RUE GAMBETTA 24000 PERIGUEUX,45.187407,0.7122057
437576754.0,https://www.pappers.fr/recherche?q=437576754,Non renseigné,1 RUE DU LYS 24000 PERIGUEUX,45.1821138,0.7214034
441320173.0,https://www.pappers.fr/recherche?q=441320173,https://pressing-fourcaud.fr/,AVENUE GEORGES POMPIDOU 24700 MONTPON-MENESTEROL,45.0087282,0.150351
449315506.0,https://www.pappers.fr/recherche?q=449315506,Non renseigné,10 PLACE DE LA BOUQUERIE 24200 SARLAT-LA-CANEDA,44.890665,1.218803
450636626.0,https://www.pappers.fr/recherche?q=450636626,Non renseigné,36 RUE DES MARTYRS 24150 LALINDE,44.8359995,0.7396577
498818525.0,https://www.pappers.fr/recherche?q=498818525,Non renseigné,61 RUE ANATOLE FRANCE 24100 BERGERAC,44.8480476,0.4968111
502299779.0,https://www.pappers.fr/recherche?q=502299779,Non renseigné,CD 32  CRABOL 24100 BERGERAC,44.85233,0.483046
502698442.0,https://www.pappers.fr/recherche?q=502698442,Non renseigné,19 RUE DU CHATEAU 24100 BERGERAC,44.8491037,0.4839439
503935603.0,https://www.pappers.fr/recherche?q=503935603,Non renseigné,44 PLACE GAMBETTA 24100 BERGERAC,44.854625,0.4824356
504099102.0,https://www.pappers.fr/recherche?q=504099102,Non renseigné,20 RUE HAUPINOT 24570 LE LARDIN-SAINT-LAZARE,45.126962,1.225739
508428554.0,https://www.pappers.fr/recherche?q=508428554,Non renseigné,8 RTE DE SAINT SEURIN 24230 VELINES,44.8497245,0.1024526
509958948.0,https://www.pappers.fr/recherche?q=509958948,Non renseigné,6 RUE DES SPORTS 24000 PERIGUEUX,45.189788,0.737342
509958948.0,https://www.pappers.fr/recherche?q=509958948,Non renseigné,7 RUE PIERRE SEMARD 24000 PERIGUEUX,45.1935339,0.7056618
509958948.0,https://www.pappers.fr/recherche?q=509958948,Non renseigné,18 RUE SAINT GEORGES 24400 MUSSIDAN,45.0366422,0.3703605
509958948.0,https://www.pappers.fr/recherche?q=509958948,Non renseigné,9 RUE JEAN MOULIN 24110 SAINT-LEON-SUR-L'ISLE,45.1153481,0.5036979
509958948.0,https://www.pappers.fr/recherche?q=509958948,Non renseigné,1 AVENUE DE LA LIBERATION 24260 LE BUGUE,44.9175253,0.9268277
513115527.0,https://www.pappers.fr/recherche?q=513115527,Non renseigné,98 RUE DE LA BATELLERIE 24130 LE FLEIX,44.8749823,0.2419781
513167791.0,https://www.pappers.fr/recherche?q=513167791,Non renseigné,2474 ROUTE DE LA NOIX 24420 SAVIGNAC-LES-EGLISES,45.2502438,0.8778501
517659264.0,https://www.pappers.fr/recherche?q=517659264,https://laveco-laverie.com/,RTE DU PERIGUEUX - PARKING SUPER U  LE MAYNE 24160 SAINT MARTIAL D ALBAREDE,45.333148,1.043354
517659264.0,https://www.pappers.fr/recherche?q=517659264,https://laveco-laverie.com/,PARKING SUPER U  ALLEE JACQUES DUCLOS 24750 BOULAZAC ISLE MANOIRE,45.184894,0.777097
518657887.0,https://www.pappers.fr/recherche?q=518657887,Non renseigné,4 AVENUE DE LA DORDOGNE 24590 SALIGNAC-EYVIGUES,44.9693907,1.3257039
533953378.0,https://www.pappers.fr/recherche?q=533953378,Non renseigné,LE PELAT  LA PETITE GRANGE 24700 SAINT-BARTHELEMY-DE-BELLEGARDE,45.078722,0.210571
788549640.0,https://www.pappers.fr/recherche?q=788549640,Non renseigné,GARROU 24240 SAUSSIGNAC,44.7994615,0.3024373
788640530.0,https://www.pappers.fr/recherche?q=788640530,Non renseigné,238 ROUTE DE ROQUEBRUNE 24220 BEYNAC-ET-CAZENAC,44.8402723,1.1517822
792855413.0,https://www.pappers.fr/recherche?q=792855413,Non renseigné,301 ROUTE DE LA DORDOGNE 24250 GROLEJAC,44.8173005,1.2943552
793178351.0,https://www.pappers.fr/recherche?q=793178351,Non renseigné,159 RUE DU COMMANDANT FRANCOIS PICHARDIE 24600 RIBERAC,45.253284,0.346213
795341015.0,https://www.pappers.fr/recherche?q=795341015,Non renseigné,LES QUATRE ROUTES 24250 CENAC ET SAINT JULIEN,44.769228,1.208868
797980141.0,https://www.pappers.fr/recherche?q=797980141,Non renseigné,LA MARGOT 24300 NONTRON,45.528435,0.661615
797980141.0,https://www.pappers.fr/recherche?q=797980141,Non renseigné,4 AV DOCTEUR DEVILLARD 24310 BRANTOME EN PERIGORD,45.3607836,0.6502672
800395881.0,https://www.pappers.fr/recherche?q=800395881,Non renseigné,54 GRAND RUE 24380 VERGT,45.0263668,0.7164291
817555741.0,https://www.pappers.fr/recherche?q=817555741,Non renseigné,247 ROUTE DU PIGNER BAS 24460 AGONAC,45.2518315,0.746566
821351608.0,https://www.pappers.fr/recherche?q=821351608,Non renseigné,AVENUE DE LA DORDOGNE 24200 SARLAT-LA-CANEDA,44.8777722,1.2141653
828170399.0,https://www.pappers.fr/recherche?q=828170399,Non renseigné,LA FEUILLERAIE 24750 TRELISSAC,45.188164,0.7624931
828503110.0,https://www.pappers.fr/recherche?q=828503110,Non renseigné,5 RUE LOUIS MIE 24200 SARLAT-LA-CANEDA,44.892866,1.216415
833842057.0,https://www.pappers.fr/recherche?q=833842057,Non renseigné,30 AVENUE DU STADE 24490 LA ROCHE-CHALAIS,45.1519771,0.0092347
833842057.0,https://www.pappers.fr/recherche?q=833842057,https://laverie7sur7.com/,28 RUE DU 26 MARS 1944 24600 RIBERAC,45.2488231,0.3398806
844777821.0,https://www.pappers.fr/recherche?q=844777821,Non renseigné,479 ROUTE DU PECH DU LAC 24370 VEYRIGNAC,44.8185086,1.3251179
848909867.0,https://www.pappers.fr/recherche?q=848909867,Non renseigné,63 RUE NEUVE D'ARGENSON 24100 BERGERAC,44.8526145,0.486316
849087341.0,https://www.pappers.fr/recherche?q=849087341,Non renseigné,REZ DE CHAUSSEE 10 PLACE DE LA LIBERTE 24220 SAINT-CYPRIEN,44.869402,1.042452
881685705.0,https://www.pappers.fr/recherche?q=881685705,Non renseigné,12 RUE DU LOUP 24500 EYMET,44.667121,0.3977465
882463110.0,https://www.pappers.fr/recherche?q=882463110,https://luxlaverie.wixsite.com/,8 ROUTE DE BEAULIEU 24430 MARSAC-SUR-L'ISLE,45.1845302,0.6612726
882463110.0,https://www.pappers.fr/recherche?q=882463110,Non renseigné,15 RUE PIERRE MAGNE 24000 PERIGUEUX,45.1830574,0.7261151
882463110.0,https://www.pappers.fr/recherche?q=882463110,https://luxlaverie.wixsite.com/,326 ROUTE D'ANGOULEME 24000 PERIGUEUX,45.1983545,0.6991076
882463110.0,https://www.pappers.fr/recherche?q=882463110,https://luxlaverie.wixsite.com/,122 AVENUE GEORGES POMPIDOU 24750 TRELISSAC,45.196027,0.735556
882463110.0,https://www.pappers.fr/recherche?q=882463110,https://luxlaverie.wixsite.com/,197 ROUTE DE GRAVELLE 24350 MENSIGNAC,45.2177325,0.5480626
882463110.0,https://www.pappers.fr/recherche?q=882463110,https://luxlaverie.wixsite.com/,11 RUE RAGUENEAU 24100 BERGERAC,44.8538009,0.4926052
885018747.0,https://www.pappers.fr/recherche?q=885018747,Non renseigné,7 RUE DES ALLIES 24360 PIEGUT-PLUVIERS,45.6247309,0.6868878
892562596.0,https://www.pappers.fr/recherche?q=892562596,Non renseigné,LAMONZIE-MONTASTRUC,44.89542,0.59293
894015155.0,https://www.pappers.fr/recherche?q=894015155,Non renseigné,1 RUE MALEVILLE 24000 PERIGUEUX,45.1863095,0.7193191
894391176.0,https://www.pappers.fr/recherche?q=894391176,Non renseigné,86 AVENUE DU GENERAL DE GAULLE 24660 COULOUNIEIX-CHAMIERS,45.190868,0.692026
901862862.0,https://www.pappers.fr/recherche?q=901862862,Non renseigné,24 RTE DU PERIGORD 24680 GARDONNE,44.836887,0.331233
911426823.0,https://www.pappers.fr/recherche?q=911426823,Non renseigné,154 AVENUE DE LA ROQUE 24100 CREYSSE,44.8518899,0.5336964
911885853.0,https://www.pappers.fr/recherche?q=911885853,Non renseigné,36 ROUTE DES GRANDS BRUTS 24750 TRELISSAC,45.209706,0.764634
911885853.0,https://www.pappers.fr/recherche?q=911885853,Non renseigné,LES ROMAINS 24750 CHAMPCEVINEL,45.1970559,0.7377921
914397088.0,https://www.pappers.fr/recherche?q=914397088,Non renseigné,2 IMP DU SEMEUR 24330 BOULAZAC ISLE MANOIRE,45.1832695,0.7909687
914397088.0,https://www.pappers.fr/recherche?q=914397088,Non renseigné,127 RUE PIERRE SEMARD 24000 PERIGUEUX,45.1935339,0.7056618
917713901.0,https://www.pappers.fr/recherche?q=917713901,Non renseigné,5290 ROUTE DE GOURDON 24200 CARSAC-AILLAC,44.8628986,1.2510867
922357074.0,https://www.pappers.fr/recherche?q=922357074,Non renseigné,6 RUE BRUNE 24300 NONTRON,45.529135,0.6633491
924948490.0,https://www.pappers.fr/recherche?q=924948490,Non renseigné,8 ROUTE DE BEAULIEU 24430 MARSAC-SUR-L'ISLE,45.1845302,0.6612726
924948490.0,https://www.pappers.fr/recherche?q=924948490,Non renseigné,21 AVENUE JEAN MOULIN 24700 MONTPON-MENESTEROL,45.0095597,0.1703092
929148310.0,https://www.pappers.fr/recherche?q=929148310,Non renseigné,8 LOTISSEMENT DU BOURG ESPACE STEPHANE HESSEL 24660 COULOUNIEIX-CHAMIERS,45.156964,0.689562
938492519.0,https://www.pappers.fr/recherche?q=938492519,Non renseigné,MARSANEIX 952 CHEMIN DES VIGNES 24660 SANILHAC,45.074917,0.791179
939737003.0,https://www.pappers.fr/recherche?q=939737003,Non renseigné,25 RUE DU GOUVERNEUR GENERAL COURNARIE 24120 TERRASSON-LAVILLEDIEU,45.1296737,1.3021411
943908988.0,https://www.pappers.fr/recherche?q=943908988,https://cest-tout-propre-nettoyage.fr/,30 RUE EMILE COUNORD 24100 BERGERAC,44.8609835,0.4987148
951478478.0,https://www.pappers.fr/recherche?q=951478478,Non renseigné,18 RUE DES MOBILES DE COULMIERS 24000 PERIGUEUX,45.186396,0.7089703
977594787.0,https://www.pappers.fr/recherche?q=977594787,https://blanchisserie-gotti.fr/,2 RUE DU COMMANDANT RAYNAL 24200 SARLAT-LA-CANEDA,44.880195,1.216119
978299592.0,https://www.pappers.fr/recherche?q=978299592,Non renseigné,1260 ROUTE GABRIEL PALUS 24320 VERTEILLAC,45.3437909,0.3677197
978426823.0,https://www.pappers.fr/recherche?q=978426823,Non renseigné,"25, B AVENUE VICTOR HUGO 24120 TERRASSON-LAVILLEDIEU",45.129874,1.300471
979350790.0,https://www.pappers.fr/recherche?q=979350790,Non renseigné,LE PONTET 24200 SARLAT-LA-CANEDA,44.8778784,1.2172033
983351131.0,https://www.pappers.fr/recherche?q=983351131,Non renseigné,BOULAZAC ISLE MANOIRE,45.1383555,0.7720933
983367350.0,https://www.pappers.fr/recherche?q=983367350,Non renseigné,GROLEJAC,44.8175097,1.2946445
987471430.0,https://www.pappers.fr/recherche?q=987471430,Non renseigné,12 RUE JULES THEULIER 24800 THIVIERS,45.4142347,0.9205765
987669405.0,https://www.pappers.fr/recherche?q=987669405,Non renseigné,24170  IMP DU CERF 24170 PAYS DE BELVES,44.776087,1.0050877
301106290.0,https://www.pappers.fr/recherche?q=301106290,Non renseigné,8 RUE DU GOUVERNEUR GENERAL COURNARIE 24120 TERRASSON-LAVILLEDIEU,45.1293912,1.3023792
304222805.0,https://www.pappers.fr/recherche?q=304222805,Non renseigné,EYRAUD-CREMPSE-MAURENS,44.9352949,0.4794245
304467913.0,https://www.pappers.fr/recherche?q=304467913,Non renseigné,20 RUE SUZANNE LACORRE 24660 COULOUNIEIX-CHAMIERS,45.155278,0.682938
304589153.0,https://www.pappers.fr/recherche?q=304589153,Non renseigné,8 PORT DE COUZE 24150 LALINDE,44.8338514,0.7044754
306322959.0,https://www.pappers.fr/recherche?q=306322959,Non renseigné,35 RUE DE LA TOUR 24360 PIEGUT-PLUVIERS,45.6224561,0.6872122
311534663.0,https://www.pappers.fr/recherche?q=311534663,Non renseigné,31 RUE NEUVE D'ARGENSON 24100 BERGERAC,44.8526145,0.486316
313655961.0,https://www.pappers.fr/recherche?q=313655961,Non renseigné,LA LEGUE 24360 PIEGUT-PLUVIERS,45.622578,0.68862
314027616.0,https://www.pappers.fr/recherche?q=314027616,Non renseigné,19 RUE DU LOUP 24500 EYMET,44.667121,0.3977465
317937209.0,https://www.pappers.fr/recherche?q=317937209,Non renseigné,BEAUMONTOIS EN PERIGORD,44.7387223,0.7735901
319252367.0,https://www.pappers.fr/recherche?q=319252367,https://linstitut-capillaire.fr/,PASSAGE STE CECILE 7 RUE ANDRE SAIGNE 24000 PERIGUEUX,45.183809,0.719697
323237420.0,https://www.pappers.fr/recherche?q=323237420,Non renseigné,PL DES PATRIOTES MARTYRS 14 PLACE DES MARTYRS 24120 TERRASSON-LAVILLEDIEU,45.128874,1.302866
323237420.0,https://www.pappers.fr/recherche?q=323237420,Non renseigné,12 PLACE DES MARTYRS 24120 TERRASSON-LAVILLEDIEU,45.1289487,1.3028113
325043511.0,https://www.pappers.fr/recherche?q=325043511,Non renseigné,30 RUE COULEAU 24600 RIBERAC,45.2428946,0.3336604
325233625.0,https://www.pappers.fr/recherche?q=325233625,Non renseigné,21 CHEMIN DE NAUVIALLE 24300 AUGIGNAC,45.5951543,0.7102164
330191479.0,https://www.pappers.fr/recherche?q=330191479,Non renseigné,LAMONZIE-SAINT-MARTIN,44.8433333,0.3847222
